id,ficheiro,final,origem,mudou_pct
f0062,21-13.JPG,21-13.jpg,lanczos,0.79
f0063,21-15.JPG,21-15.jpg,lanczos,0.64
f0064,21-16.JPG,21-16.JPG,original,0.00
f0065,21-17.JPG,21-17.JPG,original,0.00
f0066,21-18.JPG,21-18.JPG,original,0.00
f0067,21-2.jpg,21-2.jpg,IA,0.79
f0068,21-20.JPG,21-20.JPG,original,0.00
f0069,21-21.JPG,21-21.JPG,original,0.00
f0070,21-22.jpeg,21-22.jpeg,original,0.00
f0071,21-23.jpg,21-23.jpg,original,0.00
f0072,21-24.jpeg,21-24.jpeg,original,0.00
f0073,21-25.JPG,21-25.JPG,original,0.00
f0074,21-26.JPG,21-26.JPG,original,0.00
f0075,21-28.jpeg,21-28.jpeg,original,0.00
f0076,21-29.jpeg,21-29.jpeg,original,0.00
f0077,21-3.jpg,21-3.jpg,IA,0.93
f0078,21-30.JPG,21-30.JPG,original,0.00
f0079,21-31.jpg,21-31.jpg,original,0.00
f0080,21-32.jpg,21-32.jpg,original,0.00
f0081,21-38.jpg,21-38.jpg,original,0.00
f0082,21-39.jpg,21-39.jpg,original,0.00
f0083,21-4.JPG,21-4.JPG,original,0.00
f0084,21-40.JPG,21-40.JPG,original,0.00
f0085,21-41.JPG,21-41.JPG,original,0.00
f0086,21-42.JPG,21-42.JPG,original,0.00
f0087,21-43.JPG,21-43.JPG,original,0.00
f0088,21-44.JPG,21-44.JPG,original,0.00
f0089,21-45-10.jpg,21-45-10.jpg,IA,0.88
f0090,21-45-11.jpg,21-45-11.jpg,IA,1.26
f0091,21-45-16.jpeg,21-45-16.jpg,lanczos,0.48
f0092,21-45-17.jpeg,21-45-17.jpeg,original,0.00
f0093,21-45-18.jpeg,21-45-18.jpeg,original,0.00
f0094,21-45-19.jpg,21-45-19.jpg,IA,0.81
f0095,21-45-2.jpg,21-45-2.jpg,lanczos,0.35
f0096,21-45-3.JPG,21-45-3.JPG,original,0.00
f0097,21-45-4.jpg,21-45-4.jpg,lanczos,0.44
f0098,21-45-5.JPG,21-45-5.JPG,original,0.00
f0099,21-45-6.jpg,21-45-6.jpg,original,0.00
f0100,21-45-8.jpg,21-45-8.jpg,IA,2.72
f0101,21-45-9.jpg,21-45-9.jpg,original,0.00
f0102,21-45.JPG,21-45.JPG,original,0.00
f0103,21-46.jpg,21-46.jpg,IA,1.22
f0104,21-47.jpg,21-47.jpg,lanczos,0.47
f0105,21-48.jpg,21-48.jpg,IA,2.77
f0106,21-49-10.jpg,21-49-10.jpg,IA,1.24
f0107,21-49-11.jpg,21-49-11.jpg,IA,1.03
