id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0307,21,5,2014_Tiago_Nacionais_fep.jpg,foto,Amigos,2014,Por classificar,4,,,Zoom in,,Nao,,,,,
f0250,22,5,DSCN3008.JPG,foto,,2014,"sem contexto, 2014",4,,,Zoom out,,Sim,,,,,
f0247,23,5,DSC09844.JPG,foto,,2014,"sem contexto, 2025",4,,,Zoom in,,Sim,,,,,
f0160,24,5,21-60.jpg,foto,Ambos,2015,20 anos,4,,,Nenhum,20 anos,Nao,,,,,
f0138,25,5,21-49-43.JPG,foto,Tiago,2015,Assembleia da República,4,,,Zoom in,Assembleia da República,Sim,,,,,
f0027,26,5,11-4.JPG,foto,Familia,2015,Com o Henrique (o mano),4,,,Zoom out,,Nao,,,,,
f0215,27,5,9-15-2.jpg,foto,Clara,2015,Numa Ação de Voluntariado Morais Leitã,4,,,Zoom in,,Nao,,,,,
f0232,28,5,9-27.JPG,foto,Clara,2015,Pelos dela,4,,,Zoom out,,Sim,,,,,
f0327,29,5,2015_cLARA_E_TIAGO_30agosto.jpg,foto,Ambos,2015,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0336,30,5,2015_CLARA_TIAGO_AMIGOS_SECUNDARIO.jpg,foto,Ambos,2015,Por classificar,4,,,Zoom out,,Nao,,,,,
f0337,31,5,2015_CLARA_TIAGO_AMIGOS_SECUNDARIO_2.jpg,foto,Ambos,2015,Por classificar,4,,,Nenhum,,Nao,,,,,
f0338,32,5,2015_CLARA_TIAGO_AMIGOS_SECUNDARIO_3.jpg,foto,Ambos,2015,Por classificar,4,,,Zoom out,,Sim,,,,,
f0339,33,5,2015_CLARA_TIAGO_AMIGOS_SECUNDARIO_4.jpg,foto,Ambos,2015,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0122,34,5,21-49-27.JPG,foto,Tiago,2015,"Tiago, 2015",4,,,Zoom out,,Sim,,,,,
f0306,35,5,WP_20150912_18_28_43_Pro.jpg,foto,Tiago,2015,"Tiago, 2015",4,,,Zoom in,,Nao,,,,,
f0046,36,5,20.JPG,foto,Clara,2016,Cena de filme à Marilyn Monroe,4,,,Zoom out,,Sim,,,,,
f0145,37,5,21-49-53.jpg,foto,Amigos,2016,Com a mãe e com a avó,4,,,Zoom in,,Sim,,,,,
f0148,38,5,21-49-56.jpg,foto,Amigos,2016,Com a mãe e com a avó,4,,,Nenhum,,Sim,,,,,
f0144,39,5,21-49-52.JPG,foto,Amigos,2016,Com a mãe no cortejo da Queima das Fit,4,,,Zoom in,,Sim,,,,,
f0131,40,5,21-49-36.JPG,foto,Tiago,2016,"Com a primeira sobrinha, Matilde",4,,,Zoom out,,Sim,,,,,
f0245,41,5,DSC02999.JPG,foto,Amigos,2016,Com amigos da Secundária,4,,,Zoom in,,Sim,,,,,
f0028,42,5,11-5.jpg,foto,Familia,2016,Com o Henrique (o mano),4,,,Zoom out,,Nao,,,,,
f0029,43,5,11-6.jpg,foto,Familia,2016,Com o Henrique (o mano),4,,,Zoom in,,Nao,,,,,
f0243,44,5,DSC00075.JPG,foto,Ambos,2016,"Cumplicidades, 2016",4,,,Zoom out,,Sim,,,,,
f0213,45,5,9-14.JPG,foto,Clara,2016,Foi sempre irreverente,4,,,Nenhum,,Sim,,,,,
f0038,46,5,185.JPG,foto,Ambos,2016,"O encontro, 2016",4,,,Zoom out,,Sim,,,,,
f0216,47,5,9-15-4.jpg,foto,Clara,2016,Orgulhosa do primeiro automóvel. Com e,4,,,Zoom in,,Sim,,,,,
f0308,48,5,2016_Clara_impoe_insignias_tiago.jpg,foto,Amigos,2016,Por classificar,4,,,Pan D-E,,Sim,,,,,
f0340,49,5,2016_CLARA_TIAGO_AMIGOS_SECUNDARIO.jpg,foto,Ambos,2016,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0341,50,5,2016_CLARA_TIAGO_AMIGOS_SECUNDARIO_2.jpg,foto,Ambos,2016,Por classificar,4,,,Pan D-E,,Nao,,,,,
f0342,51,5,2016_CLARA_TIAGO_AMIGOS_SECUNDARIO_3.jpg,foto,Ambos,2016,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0328,52,5,2016_Clara_TIAGO_pRIMEIRA_VIAGEM_PENICHE.jpg,foto,Ambos,2016,Por classificar,4,,,Nenhum,,Sim,,,,,
