ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
171,f0132,foto,Tiago,21-49-38.JPG,0.56,0.0,530.39,530.95,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
172,f0306,foto,Tiago,WP_20150912_18_28_43_Pro.jpg,0.56,0.0,530.95,531.52,0.56,0.56,Nenhum,,rajada,4.0,-85.9,,
173,f0129,foto,Tiago,21-49-33.JPG,0.56,0.0,531.52,532.08,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
174,f0118,foto,Tiago,21-49-22.JPG,3.93,0.7,531.38,535.3,3.23,2.53,Zoom in,Com o irmão na praxe do... pai.,fiel,6.0,-34.6,,
175,f0119,foto,Tiago,21-49-23.JPG,3.93,0.7,534.6,538.53,3.23,2.53,Zoom in,Desejando boa sorte ao pai  Finalista,fiel,6.0,-34.6,,
176,f0120,foto,Tiago,21-49-24.JPG,3.7,0.7,537.83,541.53,3.0,2.3,Zoom in,Numa noite de chuva,fiel,5.0,-26.0,,
177,f0121,foto,Tiago,21-49-26.JPG,4.15,0.7,540.83,544.98,3.45,2.75,Nenhum,Com a família paterna,fiel,7.0,-40.7,,
178,f0122,foto,Tiago,21-49-27.JPG,3.7,0.7,544.28,547.98,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
179,f0123,foto,Tiago,21-49-28.JPG,3.7,0.7,547.28,550.98,3.0,2.3,Zoom in,Com o Marco,fiel,5.0,-26.0,,
180,f0130,foto,Tiago,21-49-34.JPG,3.7,0.7,550.28,553.98,3.0,2.3,Zoom in,No casamento  da mãe,fundo,5.0,-26.0,,
181,f0131,foto,Tiago,21-49-36.JPG,3.7,0.7,553.28,556.98,3.0,2.3,Zoom in,"Com a  primeira  sobrinha,  Matilde.",fundo,5.0,-26.0,,
182,f0282,foto,Tiago,IMG_6240.jpeg,3.7,0.7,556.28,559.98,3.0,2.3,Zoom in,E com o  Miguel,fundo,5.0,-26.0,,
183,f0135,foto,Tiago,21-49-40.JPG,3.7,0.7,559.28,562.98,3.0,2.3,Zoom in,Ensaiando uma coreografia  com o irmão,fiel,5.0,-26.0,,
184,f0136,foto,Tiago,21-49-41.JPG,3.7,0.7,562.28,565.98,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
