ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
62,,cartao,"demo v3, o flash-forward",,3.6,0.7,286.16,289.76,2.9,2.2,Zoom in,"Já teve muitas fases, incluindo de penteados",fiel,,,,,,
63,f0236,foto,"demo v3, o flash-forward",9.1.jpg,4.0,0.7,289.06,293.06,3.3,2.6,Zoom in,à Emma Watson,fundo,,,,,,
64,f0213,foto,"demo v3, o flash-forward",9-14.JPG,4.0,0.7,292.36,296.36,3.3,2.6,Zoom in,à Ariel da Pequena Sereia,fundo,,,,,,
65,f0237,foto,"demo v3, o flash-forward",9.4.JPG,4.0,0.7,295.66,299.66,3.3,2.6,Zoom in,À Pipi das meias altas aos 16,fundo,,,,,,
66,f0221,foto,"demo v3, o flash-forward",9-2.jpg,4.0,0.7,298.96,302.96,3.3,2.6,Zoom in,À Capa da 'Bravo' nos seus 18,fundo,,,,,,
67,f0235,foto,"demo v3, o flash-forward",9-5.JPG,4.0,0.7,302.26,306.26,3.3,2.6,Zoom in,À Fotografia de Domingo,fundo,,,,,,
68,f0159,foto,"demo v3, o flash-forward",21-6.jpg,4.0,0.7,305.56,309.56,3.3,2.6,Zoom in,À Shrek no Pântano,fundo,,,,,,
69,,cartao,"demo v3, o flash-forward",,4.5,0.7,308.86,313.36,3.8,3.1,Zoom in,Um deles sofre de uma patologia grave por animais. Advinham quem?,fiel,,,,,,
70,f0230,foto,"demo v3, o flash-forward",9-25.jpg,4.0,0.7,312.66,316.66,3.3,2.6,Zoom in,Gostava dos bichinhos todos,fundo,,,,,,
71,f0298,foto,"demo v3, o flash-forward",Scanner_20260814.jpg,4.0,0.7,315.96,319.96,3.3,2.6,Zoom in,É desde sempre apaixonada por cães,fundo,,,,,,
72,f0231,foto,"demo v3, o flash-forward",9-26.JPG,4.0,0.7,319.26,323.26,3.3,2.6,Zoom in,Pelos dela...,fundo,,,,,,
73,f0378,foto,"demo v3, o flash-forward",17042011180.jpg,4.0,0.7,322.56,326.56,3.3,2.6,Zoom in,,fundo,,,,,,
74,f0232,foto,"demo v3, o flash-forward",9-27.JPG,4.0,0.7,325.86,329.86,3.3,2.6,Zoom in,,fundo,,,,,,
75,f0233,foto,"demo v3, o flash-forward",9-28.JPG,4.0,0.7,329.16,333.16,3.3,2.6,Zoom in,... E pelos dos outros.,fundo,,,,,,
76,f0234,foto,"demo v3, o flash-forward",9-29.JPG,4.0,0.7,332.46,336.46,3.3,2.6,Zoom in,,fundo,,,,,,
77,f0449,foto,"demo v3, o flash-forward",Clara x3 (11).jpg,4.0,0.7,335.76,339.76,3.3,2.6,Zoom in,,fundo,,,,,,
78,f0454,foto,"demo v3, o flash-forward",DSC00644.JPG,4.0,0.7,339.06,343.06,3.3,2.6,Zoom in,,fundo,,,,,,
79,f0460,foto,"demo v3, o flash-forward",Fred.jpg,4.0,0.7,342.36,346.36,3.3,2.6,Zoom in,,fundo,,,,,,
